trial_id,device,sample,relative_time_s,valid,acc_x_g,acc_y_g,acc_z_g,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,dynamic_acceleration_proxy_g,gyro_magnitude_deg_s
A10-R10,WTRhand,135,2.7,True,0.1660776993076284,-1.0081002950249067,0.15828142322142083,41.139712401091,-19.905174191578816,124.82925456380073,0.033876692828316735,132.93244408719693
A10-R10,WTRhand,136,2.72,True,0.09675686286495222,-0.9941207692950944,0.15894777677915167,34.10975817583244,-24.153188025878254,123.79797228292084,0.011386370383926314,130.66288698781315
A10-R10,WTRhand,137,2.74,True,0.029700732832875457,-0.9810789036151399,0.15502432362080115,26.18585455605293,-26.263214276982957,122.41163996935437,0.006304629394107697,127.90646974635925
A10-R10,WTRhand,138,2.76,True,-0.02699208767561438,-0.9751095880117416,0.14695713500708213,19.951363404508598,-26.878357761333923,121.62763400617509,0.013509411621678846,126.14984887658447
A10-R10,WTRhand,139,2.78,True,-0.0685502781240242,-0.9753590446049403,0.13085284831358368,15.931720515189628,-27.743833993671466,121.72878255983073,0.013517929998055789,125.86276870759305
A10-R10,WTRhand,140,2.8,True,-0.09590178531810278,-0.9803796473818384,0.10972355435660677,12.70420804276796,-31.09909953174884,121.92268264358131,0.008848818893714694,126.46616716215841
A10-R10,WTRhand,141,2.82,True,-0.11644889366953953,-0.9899037274429977,0.09653665041060255,8.274258729817044,-38.6726287971104,120.7758867942597,0.0013935586545879008,127.08599610715133
A10-R10,WTRhand,142,2.84,True,-0.14045323742860932,-0.995604809086993,0.10000182282382969,0.9472994823547914,-49.54298439557626,117.2626716839383,0.010423877562982797,127.30254848032182
A10-R10,WTRhand,143,2.86,True,-0.17491345938579722,-0.9714767386801356,0.10720690708887415,-10.656930607065469,-58.97865622756302,111.65286366387801,0.007097641760046014,126.7217977489169
A10-R10,WTRhand,144,2.88,True,-0.2242326314721863,-0.8833247263869756,0.08976937545854587,-27.725860926591743,-61.888708370379305,105.41745489146143,0.08424818535053735,125.34662095033863
A10-R10,WTRhand,145,2.9,True,-0.30055427939697776,-0.7230400918576257,0.03677014087607368,-50.79864911432832,-59.95585972648338,99.82914891403463,0.21611742425452085,127.04749836294654
A10-R10,WTRhand,146,2.92,True,-0.4289123998480263,-0.5407516594054063,-0.02280718714789235,-78.6307487695319,-64.61944332478568,94.02067431299547,0.30942171212910796,138.55812609130075
A10-R10,WTRhand,147,2.94,True,-0.6298619406231165,-0.43136984529901423,-0.04611160152814808,-107.33529567107917,-89.00689581595378,84.60456151389974,0.23519133930485292,163.0982066993665
A10-R10,WTRhand,148,2.96,True,-0.8885680612921673,-0.467528753345084,-0.030918461642468784,-131.48212607628147,-133.76379270856026,68.52395360077453,0.004535856016730566,199.68934356744967
A10-R10,WTRhand,149,2.98,True,-1.1487400784078456,-0.6347261875296036,-0.02951135083242449,-147.5313082102267,-181.86738274017563,47.12070041068205,0.312765028748208,238.87568359750577
A10-R10,WTRhand,150,3.0,True,-1.3541765890961865,-0.8392221527924268,-0.09304210487599991,-156.78313038450608,-210.96255118213173,26.461013901986362,0.5958524021580109,264.1710302647883
A10-R10,WTRhand,151,3.02,True,-1.497768074105215,-0.9901922047569887,-0.20951612552540047,-163.72324216965234,-213.3242212592933,12.407765505730088,0.8076744211902558,269.19598074130255
A10-R10,WTRhand,152,3.04,True,-1.6115474438250559,-1.073274138936375,-0.3120469641135462,-169.7116417410314,-204.28289918619058,5.709561067091268,0.9612179503617566,265.6428868423364
A10-R10,WTRhand,153,3.06,True,-1.7015773654082136,-1.1364429840630463,-0.34314879817160676,-168.45061493293102,-209.99016390546979,2.8149037410356854,1.074757644685831,269.219988655003
A10-R10,WTRhand,154,3.08,True,-1.7129926864452325,-1.2098417340394496,-0.29496670273023573,-150.26020854918147,-243.8133290336021,0.5414661727127548,1.1177975165152088,286.3972117065863
A10-R10,WTRhand,155,3.1,True,-1.5822499823071101,-1.2613013979637477,-0.18921339463104236,-113.0241912788182,-291.92882256392375,-2.241261107719741,1.0322888406237825,313.0525970330589
A10-R10,WTRhand,156,3.12,True,-1.322103449854747,-1.242415158448618,-0.041940262926171624,-67.7607629715607,-323.826089758134,-7.124698144786456,0.8147484519114612,330.9163319181836
A10-R10,WTRhand,157,3.14,True,-1.0315001200891332,-1.1615479267392164,0.13200346072548425,-30.806953392317038,-320.722713231756,-16.605386228528978,0.5590416920337868,322.62651163823193
A10-R10,WTRhand,158,3.16,True,-0.8031106181833251,-1.086285815770176,0.2891209166598798,-10.949514159990011,-291.5193346702015,-30.59359522737963,0.38151888985729343,293.32470474856615
A10-R10,WTRhand,159,3.18,True,-0.6313114084404364,-1.0722993198653439,0.36416704075849954,-6.054669664772419,-255.08194951962025,-46.48099091631848,0.29653289946130146,259.3529304095917
A10-R10,WTRhand,160,3.2,True,-0.4406020453319741,-1.109301623095125,0.3275909700792041,-8.94376904047759,-210.67534401387752,-65.1836224253124,0.23773829908815203,220.71020867304875
A10-R10,WTRhand,161,3.22,True,-0.20728054772153953,-1.1473484784621621,0.2301921010526367,-9.449580357397835,-139.98258732073828,-92.24100461710444,0.18842844121142077,167.907183451786
A10-R10,WTRhand,162,3.24,True,-0.004015544535029253,-1.1660170650620882,0.17656561893883405,9.085884676433272,-43.34396554724615,-127.78436701313576,0.17931647084451963,135.24088546982412
A10-R10,WTRhand,163,3.26,True,0.11877037976063731,-1.2073393175824723,0.24438039200752046,64.86126169547433,41.320625503254995,-158.08158370128066,0.23753642648883067,175.79580332366885
A10-R10,WTRhand,164,3.28,True,0.25550581804118505,-1.3397044764130863,0.4166024707444116,160.7078057566662,74.19617296525053,-162.2135205039067,0.42606063188228616,240.09435051263304
A10-R10,WTRhand,165,3.3,True,0.5719755323496527,-1.5818077439502098,0.5777515445365484,273.9819229158241,68.23041193651325,-127.18812727923275,0.7785017839861417,309.67451125088934
A10-R10,WTRhand,166,3.32,True,1.1159294326256204,-1.8582539940549545,0.5799980940669507,369.1333513634862,92.97447937179263,-54.90561664034957,1.2438369357292043,384.60149719151104
A10-R10,WTRhand,167,3.34,True,1.7792363104607003,-2.057743121905369,0.3448165284344713,423.92284587214726,211.6709621416046,43.006118597109676,1.7420589057298277,475.77799623677595
A10-R10,WTRhand,168,3.36,True,2.453498776129332,-2.1576789855983636,-0.06639727516954269,446.4359880630295,413.70427764580404,153.10300607677976,2.2679723755734003,627.6120228692216
A10-R10,WTRknee,0,0.0,True,-0.06399633977480011,-0.9790343350623002,-0.08980456317141663,-0.8833033063386391,8.816991439310586,-5.039303965092857,0.014774837764554016,10.193828879496925
A10-R10,WTRknee,1,0.02,True,-0.05958442979823543,-0.9874453599013941,-0.06745563859899006,-3.3924505326851597,9.906385707485176,-7.08941010245049,0.008461344049576547,12.64535226883417
A10-R10,WTRknee,2,0.04,True,-0.06271910360582847,-0.9893526411985745,-0.04852957159076818,-5.539678373654521,12.611466422257138,-8.24930892467616,0.007474204908256676,16.055784612967273
A10-R10,WTRknee,3,0.06,True,-0.07403563881600615,-0.9838290281701594,-0.0362986753512748,-7.494161166717047,15.829795087389085,-8.871973669714238,0.012721707765540158,19.633053274963633
A10-R10,WTRknee,4,0.08,True,-0.08083359139379206,-0.9783610822976586,-0.033482866665191575,-9.820023013014472,16.074915368501234,-10.041898988163096,0.017734466036610108,21.346556897286316
