Camera,Point_ID,X_m,Y_m,Z_m,Clicked_X_px,Clicked_Y_px,Projected_X_px,Projected_Y_px,Residual_px,Camera_true_RMSE_px,Robust_inlier_count,Robust_inlier_RMSE_px
cam03,P10,2.700000047683716,2.1500000953674316,0.0,796.5523681640625,494.1152648925781,799.9851965375577,502.2713401055207,8.849060601049723,14.282520863047138,15,4.2879295266472655
cam03,P11,-2.700000047683716,3.549999952316284,0.0,1495.3680419921875,760.9556274414062,1506.847855496324,747.2391490142895,17.886528409149516,14.282520863047138,15,4.2879295266472655
cam03,P12,-1.350000023841858,3.549999952316284,0.0,1188.0640869140625,678.93505859375,1195.5133933257464,678.4802102125561,7.463179822637897,14.282520863047138,15,4.2879295266472655
cam03,P13,0.0,3.549999952316284,0.0,956.2191772460938,617.6929931640625,955.3360402584326,621.5803329445175,3.98639454992645,14.282520863047138,15,4.2879295266472655
cam03,P14,1.350000023841858,3.549999952316284,0.0,770.3057861328125,571.7614135742188,766.4920451229324,574.4335927731161,4.656732992287715,14.282520863047138,15,4.2879295266472655
cam03,P15,2.700000047683716,3.549999952316284,0.0,611.7326049804688,530.204345703125,615.2381888562534,535.1835738381137,6.089485292734054,14.282520863047138,15,4.2879295266472655
cam03,P16,-2.700000047683716,4.949999809265137,0.0,1278.8336181640625,874.69091796875,1297.462657687176,877.4055419831271,18.82578808690779,14.282520863047138,15,4.2879295266472655
cam03,P17,-1.350000023841858,4.949999809265137,0.0,961.6871948242188,765.330078125,958.5834395089515,771.0863428469308,6.5397156364780225,14.282520863047138,15,4.2879295266472655
cam03,P18,0.0,4.949999809265137,0.0,722.18701171875,686.5902709960938,713.0536866422225,688.9341947567052,9.429295071694664,14.282520863047138,15,4.2879295266472655
cam03,P19,1.350000023841858,4.949999809265137,0.0,536.2736206054688,627.5354614257812,529.2374806113285,624.6572338162327,7.602069467553407,14.282520863047138,15,4.2879295266472655
cam03,P20,2.700000047683716,4.949999809265137,0.0,384.2621154785156,575.042236328125,387.29661594969707,573.5231755984261,3.3934847296125965,14.282520863047138,15,4.2879295266472655
cam03,P21,-2.700000047683716,6.349999904632568,0.0,956.2191772460938,1049.668212890625,964.4838955409184,1073.6691915187757,25.38410021256924,14.282520863047138,15,4.2879295266472655
cam03,P22,-1.350000023841858,6.349999904632568,0.0,630.3239135742188,891.0950317382812,614.5814656306474,897.657642117948,17.055571589699483,14.282520863047138,15,4.2879295266472655
cam03,P23,0.0,6.349999904632568,0.0,401.75982666015625,781.7341918945312,383.2820300777537,774.9207623596878,19.69395309649447,14.282520863047138,15,4.2879295266472655
cam03,P24,1.350000023841858,6.349999904632568,0.0,230.0633544921875,697.5263671875,220.45460447340565,685.8024134758305,15.15846850960908,14.282520863047138,15,4.2879295266472655
cam03,P25,2.700000047683716,6.349999904632568,0.0,97.73677062988281,633.0034790039062,99.7882018500519,618.6345230541928,14.514656907274498,14.282520863047138,15,4.2879295266472655
cam03,P31,3.450000047683716,5.099999904632568,0.5,280.36932373046875,465.68145751953125,289.8228136138373,461.6172329882095,10.290111370434683,14.282520863047138,15,4.2879295266472655
cam03,P32,3.450000047683716,5.099999904632568,1.0,269.4332580566406,367.2567138671875,284.79573880238524,368.1650908561717,15.389313286092078,14.282520863047138,15,4.2879295266472655
cam03,P33,3.450000047683716,5.099999904632568,1.5,263.9652099609375,272.11279296875,279.9605317269014,273.0875336307153,16.024994157715245,14.282520863047138,15,4.2879295266472655
cam03,P34,3.450000047683716,5.099999904632568,2.0,260.68438720703125,174.78167724609375,275.3290913355304,176.49802048415916,14.744937881257169,14.282520863047138,15,4.2879295266472655
cam03,P35,3.450000047683716,5.099999904632568,2.299999952316284,256.3099670410156,115.72683715820312,272.64796786326724,117.8673562417489,16.47762400393085,14.282520863047138,15,4.2879295266472655
cam04,P01,-2.700000047683716,0.75,0.0,971.5296630859375,482.0855712890625,970.967432022949,485.82559794858093,3.7820501295061963,12.116315157890577,18,4.1704701730137606
cam04,P02,-1.350000023841858,0.75,0.0,826.079833984375,505.05133056640625,830.4319394666093,508.79734281106226,5.742249547486275,12.116315157890577,18,4.1704701730137606
